ID,Dish Name,North Indian,South Indian,Chinese,Mughlai,Fast Food,Desserts,Continental,East Indian,West Indian
1,Aloo Methi,1,,,,,,,,
2,Samosa,,,,,1,,,,
3,Mutter Kachori,1,,,,1,,,,1
4,Jalebi,1,,,,,1,,,
5,Methi Chicken,1,,,,,,,,
6,Dal Fry,1,,,,,,,,
7,Dal Tadka,1,,,,,,,,
8,Veg Cutlet,,,,,1,,,,
9,Vanilla Muffins,,,,,,1,,,
10,Sabudana Khichdi,,,,,1,,,,1
11,Dal Khichdi,,,,,,,,,1
12,choco Donuts,,,,,1,1,1,,
13,Plain Bagel,,,,,,1,1,,
14,Paneer Butter Masala,1,,,,,,,,
15,Veg Kolhapuri,1,,,,,,,,
16,Veg Garden Pizza,,,,,1,,1,,
17,Capuccino,,,,,,,1,,
18,Café Latte,,,,,,,1,,
19,Masala Tea,,,,,,,,,
20,Lemon Mint Ice tea,,,,,,,,,
21,Green Tea,,,,,,,,,
22,Cool Blue,,,,,,,,,
23,Hara Bhara Kabab,1,,,,,,,,
24,Spring Roll,,,1,,1,,,,
25,"Pineapple, Cheese, Cherry",,,,,,,,,
26,Gulab Kheer,,,,,,,,1,
27,Pani Puri,1,,,,1,,,,
28,Sev Puri,1,,,,1,,,,
29,Pao Bhaji,1,,,,1,,,,
30,Veg Pulao,1,,,,,,,,
31,Veg Biryani,,1,,,,,,,
32,Chicken Biryani,,1,,,,,,,
33,Mutton / Lamb Biryani,,1,,,,,,,
34,Plain Dosa,,1,,,1,,,,
35,Masala Dosa,,1,,,1,,,,
36,Butter Masala Dosa,,1,,,1,,,,
37,Open Dosa,,1,,,1,,,,
38,Set Dosa,,1,,,1,,,,
39,Idli Sambar,,1,,,1,,,,
40,Wada Sambar,,1,,,1,,,,
41,Rasmalai,,,,,,1,,1,
42,Gajar Halwa,,,,1,,1,,,
43,Kulfi,,,,1,,1,,,
44,Raj Kachori,1,,,,1,,,,
45,Chole Bhature,1,,,,,,,,
46,Cheese Macroni,,,,,1,,1,,
47,Hakka Noodles,,,1,,1,,,,
48,Veg manchurian,,,1,,1,,,,
49,Veg stew,,,1,,,,,,
50,Chicken Stew,,,1,,,,,,
51,Pina Colada,,,,,,,,,
52,Filter coffee,,1,,,,,,,
53,malai Kofta,1,,,,,,,,
54,Kurkuri Bhindi,1,,,,,,,,
55,Bhindi masala,1,,,,,,,,
56,Tandoor Roti,1,,,,,,,,
57,Butter Tandoor Roti,1,,,,,,,,
58,Butter naan,1,,,,,,,,
59,Garlic Naan,1,,,,,,,,
60,Rumali Roti,1,,,,,,,,
61,Aloo Paratha,1,,,,,,,,
62,Mix Veg Paratha,1,,,,,,,,
63,Methi Paratha,1,,,,,,,,
64,Rice Dhokla,,,,,1,,,,1
65,Khamman Dhokla,,,,,1,,,,1
66,bissibele bhaath,,1,,,,,,,
67,Dahi Samosa,1,,,,1,,,,
68,Dahi Wada,1,,,,,,,,
69,Lacha Paratha,1,,,,,,,,
70,Paneer Tikka,1,,,,,,,,
71,Dahi ke Angare,1,,,,1,,,,
72,Methi Malai Mutter,,,,,,,,,
73,Chicken Tikka,1,,,,,,,,
74,Butter Chicken,1,,,,,,,,
75,Saoji Chicken,,,,,,,,,1
76,Baigan Bharta,1,,,,,,,,
77,Saoji Mutton / Lamb,1,,,,,,,,1
78,Tawa Roti,1,,,,,,,,
79,Masala Green Peas,1,,,,,,,,
80,Chicken Sandwitch,,,,,1,,,,
81,Masala Bhat,1,,,,,,,,
82,Daal Bati,,,,,,,,,1
83,Dabeli,,,,,,,,,1
84,Bhel,1,1,,,1,,,,
85,Bread Pakoda,1,,,,1,,,,
86,Mung Pakoda,1,,,,1,,,,
