ID,Dish Name,North Indian,South Indian,Chinese,Mughlai,Fast Food,Desserts,Continental,East Indian,West Indian,
1,Aloo Methi,1,,,,,,,,,
2,Samosa,,,,,1,,,,,
3,Mutter Kachori,1,,,,1,,,,1,
4,Jalebi,1,,,,,1,,,,
5,Methi Chicken,1,,,,,,,,,
6,Dal Fry,1,,,,,,,,,
7,Dal Tadka,1,,,,,,,,,
8,Veg Cutlet,,,,,1,,,,,
9,Vanilla Muffins,,,,,,1,,,,
10,Sabudana Khichdi,,,,,1,,,,1,
11,Dal Khichdi,,,,,,,,,1,
12,choco Donuts,,,,,,1,1,,,
13,Plain Bagel,,,,,,1,1,,,
14,Paneer Butter Masala,1,,,,,,,,,
15,Veg Kolhapuri,1,,,,,,,,,
16,vegfriedrice,,,1,,1,,,,,
17,Capuccino,,,,,1,,1,,,
19,Masala Tea,,,,,1,,1,,,
20,Lemon Mint Ice tea,,,,,1,,1,,,
21,Green Tea,,,,,1,,1,,,
22,vegmomo,1,,,,1,,,1,,
23,Hara Bhara Kabab,1,,,,,,,,,
24,Spring Roll,,,1,,1,,,,,
25,upma,,1,,,,,,,1,
26,uttapam,,1,,,,,,,,
27,Pani Puri,1,1,,,1,,,1,,
28,Sev Puri,,1,,,1,,,,,
29,Pao Bhaji,,1,,,1,,,,,
30,Veg Pulao,1,,,1,,,,,,
31,Veg Biryani,,1,,1,,,,,,
32,Chicken Biryani,,1,,1,,,,,,
33,Mutton / Lamb Biryani,,1,,1,,,,,,
34,Plain Dosa,,1,,,1,,,,,
35,Masala Dosa,,1,,,1,,,,,
36,Butter Masala Dosa,,1,,,1,,,,,
37,vanillaicecream,,,,,1,1,,,,
38,Set Dosa,,1,,,1,,,,,
39,Idli Sambar,,1,,,1,,,,,
40,Wada Sambar,,1,,,1,,,,,
41,Rasmalai,,,,,,1,,1,,
42,Gajar Halwa,,,,1,,1,,,,
43,Kulfi,,,,1,,1,,,,
44,Raj Kachori,1,,,,1,,,,,
45,Chole Bhature,1,,,,,,,,,
46,Cheese Macroni,,,,,1,,1,,,
47,Hakka Noodles,,,1,,1,,,,,
48,Veg manchurian,,,1,,1,,,,,
49,Veg stew,,,1,,,,,,,
50,Chicken Stew,,,1,,,,,,,
51,Dahi Samosa,1,,,,,1,,,,
52,Dahi Wada,1,,,,,,,,,
53,Lacha Paratha,1,,,,,,,,,
54,Paneer Tikka,1,,,,,,,,,
55,Methi Malai Mutter,1,,,,,,,,,
56,Chicken Tikka,1,,,,,,,,,
57,Butter Chicken,1,,,,,,,,,
58,Baigan Bharta,1,,,,,,,,,
59,Tawa Roti,1,,,,,,,,,
60,Chicken Sandwitch,,,,,1,,1,,,
61,Masala Bhat,,,,,,,,,,
62,Daal Bati,,,,,,,,,1,
63,Dabeli,,,,,,,,,1,
64,Bhel,,1,,,1,,,,1,
65,Bread Pakoda,,,,,1,,,,,
66,aloo paratha,1,,,,,,,,,
67,aloo poha,,,,,1,,,,1,
68,baingan aloo,1,,,,,,,,,
69,bhindi masala,1,,,,,,,,,
70,black coffee,,,,,1,,,,,
71,boiled eggs,,,,,1,,,,,
72,boondi raita,,,,,,,,,1,
73,butter naan,1,,,,,,,,,
74,chilly paneer,,,1,,1,,,,,
75,chocolate ice cream,,,,,,1,,,,
76,chow chow bhath,,1,,,1,1,,,,
77,corn flakes,,,,,1,,,,,
78,dal makhani,1,,,,,,,,,
79,Filter coffee,,,,,,,,,,
80,french fries,,,,,1,,1,,,
81,fresh lime soda,,,,,,,,,,
82,garlic bread,,,,,1,,1,,,
83,Garlic naan,,,,1,,,,,,
84,gobhi aloo,1,,,,,,,,,
85,gulab jamun,,,,,,1,,,,
86,hot and sour soup,,,1,,,,,,,
87,jeera aloo,1,,,,,,,,,
88,jeera rice,1,,,,,,,,,
89,kesri bhath,,1,,,,1,,,,
90,khamman dhokla,,,,,1,,,,1,
91,lassi,1,,,,1,,,,,
92,lemon rice,,1,cleaned,,,,,,,
93,makki ki roti,1,,,,,,,,,
94,malai kofta,,,,1,,,,,,
95,malai tikka,,,,1,,,,,,
96,masala maggi,,,,,1,,,,,
97,mutter aloo,1,,,,,,,,,
98,mysore pak,,1,,,,1,,,,
99,poori,,1,,,,,,,,
100,rava upma,1,,,,,,,,,
101,papad,,1,,,,,,,,
102,rumali roti,,,,,,,,,,
103,sarson ka saag,1,,,,,,,,,
104,scrambled egg,,,,,,,1,,,
105,tandoor roti,,,,,,,,,,
106,tomato soup,,,,,,,1,,,
